"Time","Force","Position","Speed","Acceleration"
51,50,0.999995191173417,-4.14688386592869e-06,4.47862860244742e-06
51.01,50,0.999995149928427,-4.10211412557131e-06,4.47697403573847e-06
51.02,50,0.999995109131041,-4.05736308123525e-06,4.47510443360398e-06
51.03,50,0.999995068781061,-4.01263287161936e-06,4.4730209615903e-06
51.04,50,0.999995028878268,-3.96792562371632e-06,4.47072479030488e-06
51.05,50,0.999994989422423,-3.92324345276551e-06,4.46821709507853e-06
51.06,50,0.999994950413263,-3.87858846220584e-06,4.46549905596835e-06
51.07,50,0.999994911850507,-3.83396274362966e-06,4.46257185761843e-06
51.08,50,0.999994873733852,-3.78936837673745e-06,4.45943668922218e-06
51.09,50,0.999994836062973,-3.74480742929413e-06,4.45609474432908e-06
51.1,50,0.999994798837526,-3.70028195708476e-06,4.45254722093796e-06
51.11,50,0.999994762057146,-3.65579400387223e-06,4.44879532125379e-06
51.12,50,0.999994725721448,-3.61134560135424e-06,4.44484025179701e-06
51.13,50,0.999994689830026,-3.56693876912306e-06,4.44068322311944e-06
51.14,50,0.999994654382455,-3.52257551462496e-06,4.43632544981009e-06
51.15,50,0.999994619378288,-3.47825783312118e-06,4.43176815037967e-06
51.16,50,0.99999458481706,-3.43398770764836e-06,4.427012547279e-06
51.17,50,0.999994550698286,-3.38976710898125e-06,4.42205986671213e-06
51.18,50,0.99999451702146,-3.3455979955952e-06,4.4169113386064e-06
51.19,50,0.999994483786059,-3.30148231362895e-06,4.41156819662525e-06
51.2,50,0.999994450991537,-3.25742199685181e-06,4.40603167771155e-06
51.21,50,0.999994418637332,-3.21341896662577e-06,4.40030302260477e-06
51.22,50,0.999994386722862,-3.16947513187378e-06,4.39438347520026e-06
51.23,50,0.999994355247524,-3.12559238904514e-06,4.38827428286231e-06
51.24,50,0.999994324210699,-3.08177262208391e-06,4.38197669612317e-06
51.25,50,0.999994293611747,-3.03801770239736e-06,4.37549196865572e-06
51.26,50,0.999994263450011,-2.99432948882445e-06,4.36882135729185e-06
51.27,50,0.999994233724815,-2.95070982760639e-06,4.36196612180437e-06
51.28,50,0.999994204435463,-2.907160552358e-06,4.35492752483988e-06
51.29,50,0.999994175581243,-2.86368348403731e-06,4.34770683206948e-06
51.3,50,0.999994147161423,-2.82028043092018e-06,4.34030531171134e-06
51.31,50,0.999994119175255,-2.77695318857241e-06,4.33272423477737e-06
51.32,50,0.999994091621971,-2.73370353982292e-06,4.3249648749498e-06
51.33,50,0.999994064500787,-2.69053325473862e-06,4.31702850843053e-06
51.34,50,0.9999940378109,-2.64744409060006e-06,4.30891641385425e-06
51.35,50,0.999994011551491,-2.60443779187834e-06,4.30062987217285e-06
51.36,50,0.999993985721721,-2.56151609021042e-06,4.29217016679261e-06
51.37,50,0.999993960320738,-2.51868070437721e-06,4.2835385833191e-06
51.38,50,0.999993935347667,-2.47593334028307e-06,4.27473640941443e-06
51.39,50,0.999993910801622,-2.43327569093322e-06,4.2657649349859e-06
51.4,50,0.999993886681696,-2.39070943641583e-06,4.25662545173999e-06
51.41,50,0.999993862986968,-2.34823624388028e-06,4.24731925355307e-06
51.42,50,0.999993839716498,-2.30585776752051e-06,4.23784763597773e-06
51.43,50,0.999993816869331,-2.26357564855607e-06,4.22821189644483e-06
51.44,50,0.999993794444495,-2.22139151521468e-06,4.2184133341398e-06
51.45,50,0.999993772441002,-2.17930698271652e-06,4.20845324981408e-06
51.46,50,0.999993750857849,-2.13732365325861e-06,4.19833294579128e-06
51.47,50,0.999993729694015,-2.09544311599948e-06,4.18805372591441e-06
51.48,50,0.999993708948465,-2.05366694704558e-06,4.17761689538751e-06
51.49,50,0.999993688620147,-2.01199670943621e-06,4.16702376093768e-06
