Time,Force,Position,Speed,Acceleration
63.09,50.0,0.9999996473744467,2.602132440264027e-07,4.6206154632003045e-08
63.1,50.0,0.9999996499814641,2.6065861369262726e-07,4.467996110235337e-08
63.11,50.0,0.9999996525927695,2.6108877819122037e-07,4.3159226164868546e-08
63.120000000000005,50.0,0.9999996552082118,2.615037926550699e-07,4.164399778379742e-08
63.13,50.0,0.9999996578276398,2.6190371269196906e-07,4.013432375699052e-08
63.14,50.0,0.9999996604509032,2.622885943826715e-07,3.863025121949241e-08
63.15,50.0,0.9999996630778522,2.626584942728767e-07,3.713182678965777e-08
63.160000000000004,50.0,0.9999996657083373,2.6301346937062e-07,3.563909664151035e-08
63.17,50.0,0.9999996683422102,2.633535771388043e-07,3.415210629531471e-08
63.18,50.0,0.9999996709793227,2.636788754911476e-07,3.267090090381911e-08
63.190000000000005,50.0,0.9999996736195272,2.6398942278636627e-07,3.1195524970947075e-08
63.2,50.0,0.9999996762626767,2.6428527782489136e-07,2.9726022708710533e-08
63.21,50.0,0.999999678908625,2.6456649984171977e-07,2.826243761445851e-08
63.22,50.0,0.9999996815572262,2.648331485024985e-07,2.6804812685997946e-08
63.230000000000004,50.0,0.9999996842083355,2.650852838967695e-07,2.5353190282862616e-08
63.24,50.0,0.9999996868618081,2.6532296653423586e-07,2.390761269661432e-08
63.25,50.0,0.9999996895175002,2.6554625734016284e-07,2.2468121229436726e-08
63.26,50.0,0.9999996921752684,2.6575521764762697e-07,2.103475697960789e-08
63.27,50.0,0.9999996948349701,2.6594990919630535e-07,1.960756034472567e-08
63.28,50.0,0.9999996974964631,2.6613039412420506e-07,1.8186571381114333e-08
63.29,50.0,0.9999997001596062,2.662967349632545e-07,1.6771829450757647e-08
63.300000000000004,50.0,0.9999997028242585,2.6644899463471377e-07,1.5363373436756396e-08
63.31,50.0,0.9999997054902796,2.665872364439939e-07,1.396124195908164e-08
63.32,50.0,0.9999997081575303,2.6671152407696317e-07,1.2565472807987328e-08
63.33,50.0,0.9999997108258716,2.6682192159083215e-07,1.1176103445947734e-08
63.34,50.0,0.9999997134951651,2.669184934128736e-07,9.793170724080397e-09
63.35,50.0,0.9999997161652735,2.670013043339975e-07,8.416711098521432e-09
63.36,50.0,0.9999997188360596,2.67070419504007e-07,7.046760419634703e-09
63.370000000000005,50.0,0.9999997215073875,2.671259044248998e-07,5.683354077469733e-09
63.38,50.0,0.9999997241791211,2.6716782494890096e-07,4.326527002745234e-09
63.39,50.0,0.9999997268511256,2.6719624727123885e-07,2.9763135994069474e-09
63.4,50.0,0.9999997295232667,2.672112379263645e-07,1.632747675463619e-09
63.410000000000004,50.0,0.9999997321954107,2.672128637818022e-07,2.958627302787773e-10
63.42,50.0,0.9999997348674249,2.6720119203272553e-07,-1.0343084690428477e-09
63.43,50.0,0.9999997375391767,2.6717629019948243e-07,-2.3577334600922166e-09
63.440000000000005,50.0,0.9999997402105346,2.6713822611945723e-07,-3.674380365304201e-09
63.45,50.0,0.9999997428813677,2.670870679443129e-07,-4.98421781952427e-09
63.46,50.0,0.9999997455515458,2.670228841341799e-07,-6.287214967103138e-09
63.47,50.0,0.9999997482209392,2.669457434538973e-07,-7.583341317908479e-09
63.480000000000004,50.0,0.9999997508894192,2.668557149657569e-07,-8.872567098968668e-09
63.49,50.0,0.9999997535568576,2.6675286802505455e-07,-1.0154862754868298e-08
63.5,50.0,0.9999997562231269,2.6663727227748314e-07,-1.1430199585933234e-08
63.51,50.0,0.9999997588881003,2.665089976514657e-07,-1.2698548962800123e-08
63.52,50.0,0.9999997615516518,2.6636811435508247e-07,-1.3959883106477008e-08
63.53,50.0,0.9999997642136561,2.662146928693951e-07,-1.521417451657114e-08
63.54,50.0,0.9999997668739885,2.660488039461991e-07,-1.6461396254382296e-08
63.550000000000004,50.0,0.999999769532525,2.658705185997125e-07,-1.770152179663873e-08
63.56,50.0,0.9999997721891425,2.656799081049455e-07,-1.893452531889884e-08
63.57,50.0,0.9999997748437184,2.6547704399148884e-07,-2.0160381195065688e-08
63.58,50.0,0.9999997774961309,2.652619980376646e-07,-2.1379064491842078e-08
63.59,50.0,0.9999997801462589,2.6503484226740706e-07,-2.2590550611899806e-08
63.6,50.0,0.999999782793982,2.647956489449754e-07,-2.3794815504398763e-08
63.61,50.0,0.9999997854391807,2.645444905700388e-07,-2.4991835591475176e-08
63.620000000000005,50.0,0.9999997880817361,2.642814398722677e-07,-2.618158797870008e-08
