Time,Desired_Position,Position,Speed,Acceleration,Control_Input,Error
17.8,1.0,0.993422038290685,0.0015019991158713947,-0.00042011798327764666,49.70419007200005,0.006577961709315017
17.81,1.0,0.9934370349715353,0.001497768621906271,-0.0004184413311540051,49.704896046556684,0.006562965028464651
17.82,1.0,0.9934519894376437,0.0014935549606709326,-0.00041675913879127697,49.705601306036606,0.006548010562356321
17.830000000000002,1.0,0.9934669018576505,0.0014893581869688407,-0.00041507170109667744,49.7063058321213,0.0065330981423494805
17.84,1.0,0.9934817724007287,0.0014851783526608569,-0.00041337931077191776,49.70700960659229,0.006518227599271342
17.85,1.0,0.9934966012365536,0.0014810155066872694,-0.0004116822582089688,49.707712611341144,0.006503398763446411
17.86,1.0,0.9935113885352744,0.0014768696950909533,-0.00040998083148096443,49.708414828370174,0.006488611464725569
17.87,1.0,0.9935261344674852,0.0014727409610405385,-0.0004082753163088787,49.7091162397954,0.006473865532514833
17.88,1.0,0.9935408392041961,0.001468629344853971,-0.00040656599603550614,49.709816827848954,0.006459160795803887
17.89,1.0,0.9935555029168052,0.001464534884022294,-0.0004048531515364545,49.71051657488773,0.006444497083194833
17.900000000000002,1.0,0.9935701257770703,0.001460457613234349,-0.0004031370612953798,49.71121546338569,0.006429874222929732
17.91,1.0,0.9935847079570809,0.0014563975644007012,-0.00040141800124115346,49.71191347594996,0.00641529204291913
17.92,1.0,0.9935992496292305,0.001452354766679187,-0.00039969624480469144,49.71261059531501,0.006400750370769481
17.93,1.0,0.9936137509661895,0.0014483292464999098,-0.0003979720628809319,49.71330680434638,0.006386249033810465
17.94,1.0,0.9936282121408779,0.0014443210275906077,-0.0003962457237890807,49.714002086044516,0.006371787859122069
17.95,1.0,0.9936426333264385,0.0014403301310024134,-0.00039451749325053313,49.714696423547,0.00635736667356146
17.96,1.0,0.9936570146962099,0.0014363565751358367,-0.0003927876343041654,49.71538980013687,0.006342985303790072
17.97,1.0,0.9936713564237005,0.0014324003757675888,-0.0003910564073863244,49.716082199234776,0.006328643576299475
17.98,1.0,0.9936856586825628,0.001428461546076612,-0.0003893240702721493,49.71677360440475,0.006314341317437244
17.990000000000002,1.0,0.9936999216465663,0.001424540096670704,-0.00038759087794080577,49.717463999367766,0.0063000783534337135
18.0,1.0,0.993714145489573,0.001420636035614455,-0.00038585708270037143,49.71815336798934,0.006285854510426958
18.01,1.0,0.9937283303855123,0.0014167493684559512,-0.0003841229341505245,49.71884169428336,0.006271669614487663
18.02,1.0,0.9937424765083549,0.0014128800982538892,-0.0003823886790247194,49.719528962427965,0.006257523491645101
18.03,1.0,0.9937565840320889,0.0014090282256061896,-0.00038065456133828804,49.720215156750925,0.0062434159679111145
18.04,1.0,0.993770653130695,0.001405193748677215,-0.0003789208222573821,49.72090026174288,0.006229346869304986
18.05,1.0,0.9937846839781226,0.0014013766632262011,-0.0003771877001350742,49.72158426205393,0.006215316021877415
18.06,1.0,0.9937986767482654,0.0013975769626354232,-0.0003754554304615622,49.722267142498886,0.006201323251734614
18.07,1.0,0.9938126316149384,0.0013937946379387956,-0.0003737242458891993,49.72294888805494,0.00618736838506162
18.080000000000002,1.0,0.993826548751854,0.0013900296778502383,-0.0003719943761616244,49.723629483869054,0.006173451248145945
18.09,1.0,0.9938404283325993,0.0013862820687927534,-0.0003702660481199875,49.72430891525761,0.006159571667400665
18.1,1.0,0.9938542705306134,0.0013825517949274245,-0.00036853948575056084,49.72498716770198,0.006145729469386629
18.11,1.0,0.9938680755191647,0.0013788388381819686,-0.0003668149100790742,49.72566422685942,0.006131924480835327
18.12,1.0,0.9938818434713287,0.0013751431782803075,-0.00036509253916539394,49.72634007856391,0.006118156528671315
18.13,1.0,0.9938955745599664,0.0013714647927722222,-0.0003633725881716393,49.727014708819766,0.006104425440033645
18.14,1.0,0.9939092689577024,0.001367803657062299,-0.0003616552692796672,49.727688103810266,0.006090731042297626
18.150000000000002,1.0,0.9939229268369036,0.0013641597444397134,-0.0003599407916808822,49.728360249899076,0.006077073163096358
18.16,1.0,0.993936548369659,0.0013605330261081208,-0.00035822936165569823,49.72903113362278,0.006063451630341055
18.17,1.0,0.9939501337277574,0.001356923471214742,-0.00035652118241094404,49.72970074170751,0.006049866272242577
18.18,1.0,0.9939636830826688,0.0013533310468810701,-0.0003548164542265954,49.73036906105484,0.006036316917331197
18.19,1.0,0.993977196605523,0.0013497557182321062,-0.00035311537434363214,49.73103607875339,0.006022803394477028
