"Time","Position","Speed","Control_Input","Desired_Position"
8.16,0.951661319305797,0.0291266694245183,44.4897463354022,1
8.17,0.951950318081503,0.0286732227547396,44.500837008972,1
8.18,0.952234792355904,0.0282217712713546,44.5125031095055,1
8.19,0.952514762426684,0.0277723840637172,44.5247358714934,1
8.2,0.952790249275798,0.0273251288975808,44.5375265123394,1
8.21,0.953061274556249,0.0268800722168323,44.5508662345337,1
8.22,0.953327860578874,0.0264372791454976,44.5647462278046,1
8.23,0.953590030299161,0.0259968134900162,44.5791576712458,1
8.24,0.953847807304084,0.0255587377417786,44.5940917354171,1
8.25,0.954101215798968,0.0251231130799242,44.6095395844172,1
8.26,0.954350280594378,0.024689999374395,44.6254923779381,1
8.27,0.954595027093048,0.0242594551892425,44.6419412732932,1
8.28,0.954835481276837,0.023831537786181,44.6588774274124,1
8.29,0.955071669693727,0.0234063031283872,44.6762919988251,1
8.3,0.955303619444852,0.0229838058845386,44.6941761496015,1
8.31,0.955531358171584,0.0225640994330894,44.7125210472889,1
8.32,0.955754914042643,0.022147235866778,44.7313178667986,1
8.33,0.955974315741272,0.0217332659973635,44.7505577922859,1
8.34,0.956189592452446,0.0213222393605863,44.7702320189956,1
8.35,0.956400773850141,0.0209142042213501,44.7903317550851,1
8.36,0.95660789008465,0.0205092075791192,44.8108482234145,1
8.37,0.956810971769961,0.0201072951735298,44.8317726633214,1
8.38,0.957010049971182,0.0197085114902092,44.8530963323623,1
8.39,0.957205156192036,0.0193128997667998,44.8748105080272,1
8.4,0.957396322362409,0.0189205019991845,44.8969064894309,1
8.41,0.957583580825968,0.0185313589479082,44.9193755989805,1
8.42,0.957766964327834,0.018145510144793,44.9422091840094,1
8.43,0.957946506002338,0.0177629938997418,44.9653986183884,1
8.44,0.958122239360828,0.0173838473077274,44.9889353041145,1
8.45,0.958294198279563,0.0170081062559631,45.012810672868,1
8.46,0.958462416987665,0.0166358054312494,45.0370161875413,1
8.47,0.958626930055158,0.0162669783274958,45.0615433437511,1
8.48,0.958787772381076,0.0159016572534109,45.0863836713118,1
8.49,0.958944979181649,0.0155398733403589,45.1115287356936,1
8.5,0.959098585978569,0.0151816565503773,45.1369701394437,1
8.51,0.959248628587341,0.0148270356843532,45.1626995235934,1
8.52,0.959395143105711,0.0144760383903537,45.1887085690237,1
8.53,0.959538165902179,0.0141286911721061,45.2149889978207,1
8.54,0.959677733604602,0.0137850193976253,45.2415325745902,1
8.55,0.959813883088876,0.013445047307984,45.2683311077595,1
8.56,0.959946651467718,0.013108798026221,45.2953764508388,1
8.57,0.960076076079523,0.0127762935663864,45.3226605036696,1
8.58,0.960202194477324,0.0124475548427167,45.3501752136392,1
8.59,0.960325044417843,0.0121226016789387,45.3779125768693,1
8.6,0.960444663850628,0.0118014528176972,45.4058646393838,1
8.61,0.960561090907291,0.0114841259301035,45.4340234982447,1
8.62,0.960674363890846,0.0111706376254004,45.4623813026686,1
8.63,0.96078452126513,0.0108610034607401,45.4909302551057,1
8.64,0.960891601644342,0.0105552379510728,45.5196626123131,1
8.65,0.960995643782661,0.0102533545791397,45.5485706863805,1
8.66,0.961096686563983,0.00995536580557005,45.577646845744,1
8.67,0.961194768991745,0.0096612830790755,45.6068835161708,1
8.68,0.96128993017886,0.00937111684674133,45.6362731817232,1
8.69,0.961382209337751,0.00908487656440811,45.6658083856835,1
8.7,0.961471645770493,0.00880257070714289,45.6954817314739,1
8.71,0.961558278859056,0.00852420677979457,45.7252858835339,1
8.72,0.961642148055657,0.008249791327631,45.7552135681819,1
8.73,0.961723292873217,0.00797932994705436,45.7852575744525,1
